# Index number,# Trap location y-coordinate of trap in SVY21 coordinate system,# Trap location x-coordinate of trap in SVY21 coordinate system,"# Deployment contractor, grouped A or B/C",# Trap deployment date in Julian date format (yyddd),"# sin(ops_start), to account for seasonal variations","# cos(ops_start),  to account for seasonal variations",# Population density of crows at trap vicinity (crow per hectare); estimate from data by Tan et al 2020,"# Number of feeding cases in a 250m radius around trap, prior to trap deployement","# Number of feeding cases in a 500m radius around trap, prior to trap deployement","# Percentage of built up area (including roads, buildings, and other urban structures) in a 250m radius of trap ","# Percentage of vegetated areas that are routinely managed (e.g., planted and maintained by pruning) and utilized by humans, such as urban parks and gardens, in a 250m radius of the trap",# Percentage of tree canopy cover in a 250m radius of the trap,"# Percentage of built up area (including roads, buildings, and other urban structures) in a 500m radius of trap ","# Percentage of vegetated areas that are routinely managed (e.g., planted and maintained by pruning) and utilized by humans, such as urban parks and gardens, in a 500m radius of the trap",# Percentage of tree canopy cover in a 500m radius of the trap,"# Spatial-temporal index of proximity; a smaller interval between this trap and the previous one, smaller  distance between adjacent traps, and greater number of prior traps would give a greater value",# Total number of crows caught per active day of operation; inactive days where the trap was not monitored or operated (eg weekends) or days of inclement weather were excluded,# Presence of other birds trapped (Javan mynas or rock pigeons)
idx,lat_svy21_adj,lon_svy21_adj,contractor,ops_start,sin_ops_start,cos_ops_start,pop_density,feeding_count_250m,feeding_count_500m,builtup_area_250m,human_veg_area_250m,tree_canopy_area_250m,builtup_area_500m,human_veg_area_500m,tree_canopy_area_500m,proximity_index,crows_caught_per_day,other_birds
1,29003.52657,30472.0639,A,23068,0.919720437,0.392573965,0.217224453,0,3,49.1418972,48.57548271,4.672837967,55.04482692,35.67222555,5.022127165,357.0219185,6.375,FALSE
2,36785.274,30100.07856,A,22194,-0.187718565,-0.982222857,0.19737821,5,24,69.12647627,30.74132133,15.43850934,63.88083366,33.1417554,10.89820359,85.09517259,0.833333333,FALSE
3,35502.05849,29305.87183,A,22216,-0.536696194,-0.84377556,0.32249503,4,18,76.78239324,23.21760676,11.53498988,69.22307764,30.77692236,12.41920104,111.5042938,4.714285714,FALSE
4,29712.11591,30861.56756,A,22234,-0.767880446,-0.640593179,0.139042685,0,1,58.11900612,3.127953251,0.352992162,37.90235376,14.51410459,2.152030068,125.331425,1,FALSE
5,36800.95354,30102.44889,A,22249,-0.905702263,-0.423914391,0.19737821,6,33,66.84087111,33.02692612,15.63618097,63.48586245,33.29647322,10.80418425,138.1824608,2,FALSE
6,29729.2107,30853.09809,A,22311,-0.810024863,0.586395533,0.139042685,0,1,53.73003225,2.979925069,0.352942273,37.9844796,13.77553386,1.982432485,178.6336782,0.333333333,FALSE
7,32085.09545,30754.59307,A,22319,-0.722116597,0.691771365,0.327131963,6,27,66.45567969,29.66589094,13.02679564,76.22821172,21.56696084,9.291734512,190.5756804,6.25,FALSE
8,36378.8931,30561.01857,A,22328,-0.607057574,0.794657852,0.279272063,19,48,55.64778627,32.81031638,15.7757857,60.41979514,33.03138491,17.54726283,202.6358003,1.714285714,FALSE
9,36695.2117,30219.69256,A,23038,0.607057574,0.794657852,0.19737821,23,71,68.21353546,31.65426189,14.91573887,64.79111126,30.15534837,12.94339899,276.1052775,4.142857143,FALSE
10,42919.37933,35309.43116,B/C,22159,0.400453906,-0.916316904,0.012837524,15,25,66.00041753,33.99958247,0.143712977,69.68653638,28.84240237,0.187620802,59.48719465,0.375,FALSE
11,44269.45766,35363.74504,A,22143,0.633978493,-0.773350678,0.003242529,1,3,25.89783331,16.29814198,17.41597171,18.86969706,21.70070266,23.59061046,49.67082736,1.375,FALSE
12,42693.46546,35758.99024,A,22152,0.507415093,-0.86170176,0.009550769,6,14,80.49897621,19.50102379,0.017101951,69.6150327,30.37155831,0.032305062,57.5402803,1.2,FALSE
13,44827.59418,29421.18441,A,22157,0.431672852,-0.902030237,0.258777541,10,13,75.42348357,24.57651643,6.783565888,55.40045453,30.31606296,25.36493179,66.65464187,3.333333333,FALSE
14,44906.66725,29579.28717,A,22195,-0.204552066,-0.978855685,0.258777541,10,11,62.85944487,37.04581844,11.00707007,46.8179951,35.28883821,33.29144824,86.38101536,1.166666667,FALSE
15,42967.50241,37089.68863,A,22208,-0.416124696,-0.909307559,0.004704575,1,3,82.09917188,10.63388679,0,61.58289317,32.6262107,0.573230903,97.24342058,4.857142857,FALSE
16,45592.86182,29494.86206,A,22194,-0.187718565,-0.982222857,0.244805058,5,14,55.25138051,44.74861949,15.32915492,41.37587485,54.57328709,27.27191814,80.08866529,8,FALSE
17,44971.83941,29455.74886,A,22242,-0.848351198,-0.529433891,0.258777541,9,13,75.00789858,24.99210142,9.484453068,51.5814099,35.13557405,29.76200739,134.5158662,1.333333333,FALSE
18,43199.64108,36690.70813,A,22300,-0.905702263,0.423914391,0.003292605,1,4,36.49058157,57.35573645,0.039982274,39.83928565,51.78868895,2.009587594,169.8043616,1.857142857,FALSE
19,44107.5815,28197.60139,A,22215,-0.522132581,-0.852864331,0.134215672,15,24,82.95957501,17.03599804,9.767049558,64.09284244,33.56333275,16.52985453,107.0266325,2.4,FALSE
20,44842.49958,29403.53446,A,22328,-0.607057574,0.794657852,0.258777541,13,22,75.86203361,24.13796639,7.395722999,55.80989745,30.37466234,25.15902905,206.3604946,2.142857143,FALSE
